neg_words,value
iawry,-12.620032196867154
duties,-12.61572040111523
intl,-12.610329536353234
neve,-12.604253858093472
mpfront,-12.603156920652319
burned,-12.602867519362109
frontfacing,-12.596803921091782
tweaks,-12.580429139194072
builtmost,-12.574918320920766
breathtaking,-12.524061446086224
answering,-12.518529951939412
european,-12.49620470311476
ans,-12.47964667745015
employed,-12.465720767631195
navigate,-12.460913837506828
gbmy,-12.449869355585125
duplicated,-12.43240117248993
craps,-12.425254768667827
remedy,-12.425230791483335
detailok,-12.414713500002653
lglc,-12.348051366507226
shady,-12.347536444768714
appsit,-12.343866662306079
swindled,-12.340268131050893
notalso,-12.333544530238877
crashed,-12.314100842835861
stinks,-12.283471031652256
counted,-12.278149594051598
halfway,-12.251652653861175
concluded,-12.244939501571343
docs,-12.22972839446748
downloadcamera,-12.21960964160594
april,-12.215695438787588
praying,-12.205963290634832
translates,-12.203727443731678
camcorderbuilt,-12.184322734630916
fear,-12.171463171820873
tags,-12.15953642001982
practice,-12.153098233872194
buys,-12.151526720764519
ago,-12.138575667685036
american,-12.133055616907614
lightno,-12.122860386222733
iphonesive,-12.12232452648354
nuts,-12.100781980491531
overheat,-12.099793634304081
reasonsitem,-12.092584338332768
satisfy,-12.086233417527378
smalleri,-12.068330956064976
factan,-12.06263283043598
demand,-12.04076417894814
ironed,-12.040343191079796
atat,-12.02583462759531
free,-12.025735600830235
visibility,-12.010150467820997
minder,-11.957830402793169
meant,-11.942916521014336
mms,-11.939713787406614
lag,-11.93950118720972
routinely,-11.934906449771377
los,-11.921328533700661
mfgs,-11.916779804220631
activitate,-11.916776686962104
charge,-11.88187956128443
providing,-11.87896466781629
maze,-11.85337184093903
umbrella,-11.851727622233822
camrea,-11.844597751382539
beware,-11.843661415362037
indoors,-11.841951967407958
disappointedi,-11.834415159153243
enlarging,-11.826379134006876
leader,-11.807082165273805
fair,-11.80590499389491
clipdivstyleheight,-11.80370158703639
laying,-11.801363191416797
borrows,-11.78738448053331
code,-11.786520532831462
outdoor,-11.761668717343042
verizons,-11.745723267569096
debt,-11.742985881078573
insert,-11.737093149354287
app,-11.71585425555977
prestaciones,-11.708393429973047
died,-11.703113180170353
damagei,-11.690085147682826
continually,-11.686751536511483
parece,-11.684629604821268
havin,-11.682030649693084
develop,-11.676497047678726
issued,-11.644820597622582
current,-11.644527157701557
designcraftsmanship,-11.583651676144331
doesnt,-11.57843888956785
distracting,-11.575174037568566
eastern,-11.570589126100709
question,-11.561802425615657
optional,-11.535626106080432
set,-11.530405251486368
levels,-11.529649821129926
doubletap,-11.518094800017302
prepaid,-11.515394174019749
maintained,-11.499260301208018
occasions,-11.489530668232096
hoot,-11.486254679080957
sooner,-11.483318876368173
black,-11.480427140268171
reactivation,-11.47513684820373
vital,-11.458988291447575
push,-11.437376149974426
devoluci庚n,-11.423396456104372
expires,-11.418787383394356
bring,-11.406859338666072
phonesthe,-11.387219153445153
broken,-11.383086224311834
excellentif,-11.365827109054763
sounding,-11.35834425942157
exploding,-11.348162663994815
waist,-11.33191788491952
ear,-11.330942248191006
couldt,-11.324348482988952
countryits,-11.317054796344564
phone,-11.298924039299907
possession,-11.298857601644718
ins,-11.272958346017807
deadline,-11.25830216797474
badthe,-11.257754999531057
draining,-11.244033967452246
competitor,-11.242733516120614
tofor,-11.23704668955797
device堺痒,-11.226920432954831
roadupdate,-11.226094164437415
jitterbug,-11.217496879082569
guys,-11.215018634815383
untill,-11.20664203609835
symmetrical,-11.189943134275657
linkedin,-11.188557724720633
legitimate,-11.186959768320609
latin,-11.186507725984765
cardit,-11.183919564892262
quiet,-11.171125353465124
moms,-11.138980358963286
neededmy,-11.133271638579416
comical,-11.10947348802197
shifty,-11.108118378644729
matte,-11.107156495802954
redline,-11.099926866619356
computers,-11.089875833739889
choreit,-11.089776957697211
underneath,-11.08234678231661
moments,-11.074698387647212
endscreenthe,-11.05917763721132
